Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2017,"Ethanol, 85 percent (E85)",Connecticut,76,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",CT
2017,"Ethanol, 85 percent (E85)",Connecticut,189,0,"Light Duty",Pickups,Non-dedicated,"State Agencies",CT
2017,"Ethanol, 85 percent (E85)",Connecticut,101,0,"Light Duty",SUVs,Non-dedicated,"State Agencies",CT
2017,"Ethanol, 85 percent (E85)",Connecticut,361,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",CT
2017,"Ethanol, 85 percent (E85)",Connecticut,175,0,"Medium Duty",Pickups,Non-dedicated,"State Agencies",CT
2017,"Ethanol, 85 percent (E85)","District of Columbia",53,8,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",DC
2017,"Ethanol, 85 percent (E85)","District of Columbia",159,59,"Light Duty",Pickups,Non-dedicated,"State Agencies",DC
2017,"Ethanol, 85 percent (E85)","District of Columbia",2,1,"Light Duty",SUVs,Non-dedicated,"State Agencies",DC
2017,"Ethanol, 85 percent (E85)","District of Columbia",162,51,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",DC
2017,"Ethanol, 85 percent (E85)",Delaware,375,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",DE
2017,"Ethanol, 85 percent (E85)",Delaware,179,0,"Light Duty",Pickups,Non-dedicated,"State Agencies",DE
2017,"Ethanol, 85 percent (E85)",Delaware,185,0,"Light Duty",SUVs,Non-dedicated,"State Agencies",DE
2017,"Ethanol, 85 percent (E85)",Delaware,603,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",DE
2017,"Ethanol, 85 percent (E85)",Florida,208,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",FL
2017,"Ethanol, 85 percent (E85)",Florida,3,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",FL
2017,"Ethanol, 85 percent (E85)",Florida,1475,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",FL
2017,"Ethanol, 85 percent (E85)",Florida,1953,0,"Light Duty",Pickups,Non-dedicated,"State Agencies",FL
2017,"Ethanol, 85 percent (E85)",Florida,885,0,"Light Duty",SUVs,Non-dedicated,"State Agencies",FL
2017,"Ethanol, 85 percent (E85)",Florida,348,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",FL
2017,"Ethanol, 85 percent (E85)",Florida,281,0,"Medium Duty",Pickups,Non-dedicated,"State Agencies",FL
2017,"Ethanol, 85 percent (E85)",Georgia,131,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",GA
2017,"Ethanol, 85 percent (E85)",Georgia,1662,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",GA
2017,"Ethanol, 85 percent (E85)",Georgia,46,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",GA
2017,"Ethanol, 85 percent (E85)",Georgia,1436,0,"Light Duty",Pickups,Non-dedicated,"State Agencies",GA
2017,"Ethanol, 85 percent (E85)",Georgia,569,0,"Light Duty",SUVs,Non-dedicated,"State Agencies",GA
2017,"Ethanol, 85 percent (E85)",Georgia,368,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",GA
2017,"Ethanol, 85 percent (E85)",Iowa,231,94,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",IA
2017,"Ethanol, 85 percent (E85)",Iowa,138,10,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",IA
2017,"Ethanol, 85 percent (E85)",Iowa,587,70,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",IA
2017,"Ethanol, 85 percent (E85)",Iowa,548,101,"Light Duty",Pickups,Non-dedicated,"State Agencies",IA
2017,"Ethanol, 85 percent (E85)",Iowa,203,45,"Light Duty",SUVs,Non-dedicated,"State Agencies",IA
2017,"Ethanol, 85 percent (E85)",Iowa,54,29,"Light Duty",Trucks,Non-dedicated,"State Agencies",IA
2017,"Ethanol, 85 percent (E85)",Iowa,396,97,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",IA
2017,"Ethanol, 85 percent (E85)",Iowa,22,5,"Medium Duty",Pickups,Non-dedicated,"State Agencies",IA
2017,"Ethanol, 85 percent (E85)",Idaho,2,0,"Heavy Duty",Buses,Non-dedicated,"State Agencies",ID
2017,"Ethanol, 85 percent (E85)",Idaho,5,1,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",ID
2017,"Ethanol, 85 percent (E85)",Idaho,28,6,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",ID
2017,"Ethanol, 85 percent (E85)",Idaho,40,10,"Light Duty",Pickups,Non-dedicated,"State Agencies",ID
2017,"Ethanol, 85 percent (E85)",Idaho,41,13,"Light Duty",SUVs,Non-dedicated,"State Agencies",ID
2017,"Ethanol, 85 percent (E85)",Idaho,8,3,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",ID
2017,"Ethanol, 85 percent (E85)",Idaho,48,19,"Medium Duty",Pickups,Non-dedicated,"State Agencies",ID
2017,"Ethanol, 85 percent (E85)",Illinois,2244,26,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",IL
2017,"Ethanol, 85 percent (E85)",Illinois,748,9,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",IL
2017,"Ethanol, 85 percent (E85)",Maryland,8,1,"Light Duty",SUVs,Non-dedicated,"Electricity Providers",MD
2017,"Ethanol, 85 percent (E85)",Maryland,3,0,"Light Duty",Trucks,Non-dedicated,"Electricity Providers",MD
2017,"Ethanol, 85 percent (E85)",Maryland,19,3,"Medium Duty",Pickups,Non-dedicated,"Electricity Providers",MD
2017,"Ethanol, 85 percent (E85)",Maryland,14,2,"Medium Duty",Trucks,Non-dedicated,"Electricity Providers",MD
